	github.com/diogenes/omo-profiler/cmd/omo-profiler		coverage: 0.0% of statements
ok  	github.com/diogenes/omo-profiler/internal/backup	0.004s	coverage: 71.6% of statements
ok  	github.com/diogenes/omo-profiler/internal/cli	0.002s	coverage: 69.2% of statements
ok  	github.com/diogenes/omo-profiler/internal/cli/cmd	0.003s	coverage: 4.8% of statements
ok  	github.com/diogenes/omo-profiler/internal/config	0.006s	coverage: 82.6% of statements
ok  	github.com/diogenes/omo-profiler/internal/diff	0.002s	coverage: 100.0% of statements
ok  	github.com/diogenes/omo-profiler/internal/models	0.005s	coverage: 80.7% of statements
ok  	github.com/diogenes/omo-profiler/internal/profile	0.014s	coverage: 79.5% of statements
ok  	github.com/diogenes/omo-profiler/internal/schema	2.035s	coverage: 67.4% of statements
ok  	github.com/diogenes/omo-profiler/internal/tui	0.028s	coverage: 41.2% of statements
ok  	github.com/diogenes/omo-profiler/internal/tui/layout	0.002s	coverage: 40.8% of statements
ok  	github.com/diogenes/omo-profiler/internal/tui/views	0.386s	coverage: 60.3% of statements
ok  	github.com/diogenes/omo-profiler/internal/web	0.027s	coverage: 51.8% of statements
